Timestamp,Turbine Name,Active Power,Wind Speed
2026-02-01 13:10:55,WA102,1391.5 kW,8.2 m/s
2026-02-01 13:10:55,WA103,2776.4 kW,7.3 m/s
2026-02-01 13:10:56,WA101,2923.9 kW,7.6 m/s
2026-02-01 13:11:23,WA104,874.4 kW,9.3 m/s
2026-02-01 13:11:30,WA106,1931.1 kW,9.0 m/s
2026-02-01 13:11:33,WA105,429.9 kW,6.5 m/s
2026-02-01 13:11:52,WA107,974.1 kW,9.4 m/s
2026-02-01 13:11:59,WA108,2209.9 kW,10.4 m/s
2026-02-01 13:11:59,WA109,3665.4 kW,8.8 m/s
2026-02-01 13:12:16,WA110,3023.6 kW,10.9 m/s
2026-02-01 13:12:28,WA111,3927.2 kW,8.7 m/s
2026-02-01 13:12:29,WA112,3740.4 kW,10.0 m/s
2026-02-01 13:12:55,WA113,1189.5 kW,8.5 m/s
2026-02-01 13:12:57,WA114,1509.9 kW,8.1 m/s
2026-02-01 13:12:58,WA115,374.7 kW,6.4 m/s
2026-02-01 13:13:23,WA116,725.0 kW,7.5 m/s
2026-02-01 13:13:26,WA117,473.9 kW,5.6 m/s
2026-02-01 13:13:28,WA118,2210.6 kW,8.5 m/s
2026-02-01 13:13:48,WA119,2450.3 kW,8.4 m/s
2026-02-01 13:13:55,WA120,1498.9 kW,4.9 m/s
2026-02-01 13:13:57,WA121,1249.2 kW,7.9 m/s
2026-02-01 13:14:22,WA122,4007.0 kW,8.2 m/s
2026-02-01 13:14:28,WA123,2694.4 kW,9.7 m/s
2026-02-01 13:14:29,WA124,1539.7 kW,8.0 m/s
2026-02-01 13:14:55,WA125,650.9 kW,7.4 m/s
2026-02-01 13:14:55,WA126,113.8 kW,6.6 m/s
2026-02-01 13:14:56,WA127,1834.6 kW,5.7 m/s
2026-02-01 13:15:25,WA128,1044.7 kW,7.4 m/s
2026-02-01 13:15:32,WA129,2512.8 kW,7.7 m/s
2026-02-01 13:15:33,WA130,1877.8 kW,8.0 m/s
2026-02-01 13:16:08,WA132,587.3 kW,4.7 m/s
2026-02-01 13:16:09,WA131,387.5 kW,6.2 m/s
2026-02-01 13:16:09,WA133,1547.4 kW,7.3 m/s
2026-02-01 13:16:38,WA134,1659.6 kW,5.0 m/s
2026-02-01 13:16:40,WA201,481.5 kW,4.2 m/s
2026-02-01 13:16:40,WA202,1362.7 kW,5.2 m/s
2026-02-01 13:17:09,WA203,933.1 kW,8.1 m/s
2026-02-01 13:17:12,WA204,1454.4 kW,7.3 m/s
2026-02-01 13:17:13,WA205,848.5 kW,8.7 m/s
2026-02-01 13:17:38,WA206,2207.7 kW,7.1 m/s
2026-02-01 13:17:41,WA207,1637.6 kW,7.4 m/s
2026-02-01 13:17:49,WA208,1660.0 kW,6.5 m/s
2026-02-01 13:18:03,WA209,2258.9 kW,7.3 m/s
2026-02-01 13:18:08,WA210,1358.1 kW,7.3 m/s
2026-02-01 13:18:24,WA211,109.7 kW,6.5 m/s
2026-02-01 13:18:32,WA214,2022.9 kW,6.8 m/s
2026-02-01 13:18:32,WA213,1166.2 kW,8.5 m/s
2026-02-01 13:18:52,WA215,3109.7 kW,9.8 m/s
2026-02-01 13:19:02,WA216,2876.2 kW,9.5 m/s
2026-02-01 13:19:02,WA217,1218.5 kW,5.4 m/s
2026-02-01 13:19:21,WA218,779.5 kW,5.1 m/s
2026-02-01 13:19:30,WA220,1212.2 kW,9.3 m/s
2026-02-01 13:19:31,WA219,1297.7 kW,5.1 m/s
2026-02-01 13:19:55,WA221,2510.9 kW,9.4 m/s
2026-02-01 13:19:57,WA223,2212.6 kW,8.5 m/s
2026-02-01 13:19:58,WA222,3718.7 kW,9.3 m/s
2026-02-01 13:20:25,WA224,3299.5 kW,9.2 m/s
2026-02-01 13:20:30,WA225,3955.3 kW,9.1 m/s
2026-02-01 13:20:33,WA226,2699.3 kW,7.5 m/s
2026-02-01 13:20:57,WA227,2484.7 kW,7.2 m/s
2026-02-01 13:20:59,WA228,2423.2 kW,8.2 m/s
2026-02-01 13:21:03,WA229,651.8 kW,7.8 m/s
2026-02-01 13:21:27,WA230,2768.5 kW,6.9 m/s
2026-02-01 13:21:31,WA231,1318.9 kW,7.3 m/s
2026-02-01 13:21:32,WA232,2906.8 kW,8.2 m/s
2026-02-01 13:21:58,WA301,1483.1 kW,5.9 m/s
2026-02-01 13:21:59,WA302,533.2 kW,5.7 m/s
2026-02-01 13:22:00,WA303,768.6 kW,7.1 m/s
2026-02-01 13:22:33,WA304,674.2 kW,6.6 m/s
2026-02-01 13:22:35,WA305,1731.4 kW,6.6 m/s
2026-02-01 13:22:40,WA306,501.1 kW,5.7 m/s
2026-02-01 13:23:00,WA307,1310.5 kW,5.7 m/s
2026-02-01 13:23:04,WA308,4453.2 kW,9.2 m/s
2026-02-01 13:23:06,WA309,4504.1 kW,7.8 m/s
2026-02-01 13:23:31,WA310,4395.3 kW,9.6 m/s
2026-02-01 13:23:32,WA311,4226.4 kW,9.3 m/s
2026-02-01 13:23:33,WA312,2877.2 kW,8.9 m/s
2026-02-01 13:23:59,WA313,4257.7 kW,9.0 m/s
2026-02-01 13:24:00,WA314,3006.4 kW,7.5 m/s
2026-02-01 13:24:01,WA315,2650.2 kW,9.0 m/s
2026-02-01 13:24:31,WA316,3132.0 kW,9.2 m/s
2026-02-01 13:24:32,WA317,1728.8 kW,6.5 m/s
2026-02-01 13:24:33,WA318,1566.3 kW,5.5 m/s
2026-02-01 13:24:57,WA319,3141.2 kW,8.6 m/s
2026-02-01 13:24:59,WA320,622.2 kW,7.2 m/s
2026-02-01 13:25:05,WA321,1184.4 kW,8.9 m/s
2026-02-01 13:25:30,WA322,2899.0 kW,8.7 m/s
2026-02-01 13:25:33,WA323,2662.0 kW,7.3 m/s
2026-02-01 13:25:34,WA324,2241.1 kW,8.3 m/s
2026-02-01 13:25:58,WA325,2485.7 kW,6.3 m/s
2026-02-01 13:26:03,WA326,850.5 kW,4.0 m/s
2026-02-01 13:26:04,WA327,1631.3 kW,7.1 m/s
2026-02-01 13:26:26,WA328,1651.7 kW,6.6 m/s
2026-02-01 13:26:32,WA329,1115.3 kW,6.8 m/s
2026-02-01 13:26:33,WA330,1034.0 kW,6.5 m/s
2026-02-01 13:26:52,WA331,1339.5 kW,9.4 m/s
2026-02-01 13:27:00,WA332,1823.5 kW,7.8 m/s
2026-02-01 13:27:04,WA333,991.3 kW,3.7 m/s
2026-02-01 13:27:15,WA401,545.4 kW,6.3 m/s
2026-02-01 13:27:24,WA402,745.8 kW,7.8 m/s
2026-02-01 13:27:29,WA403,1158.4 kW,7.2 m/s
2026-02-01 13:27:41,WA404,2092.6 kW,7.3 m/s
2026-02-01 13:27:48,WA405,1105.2 kW,8.5 m/s
2026-02-01 13:27:55,WA406,1947.2 kW,7.1 m/s
2026-02-01 13:28:07,WA407,932.6 kW,7.2 m/s
2026-02-01 13:28:15,WA408,1259.7 kW,6.2 m/s
2026-02-01 13:28:20,WA409,2680.2 kW,8.4 m/s
2026-02-01 13:28:34,WA410,2560.2 kW,7.8 m/s
2026-02-01 13:28:36,WA411,2864.8 kW,6.6 m/s
2026-02-01 13:28:45,WA412,3840.6 kW,9.4 m/s
2026-02-01 13:28:57,WA413,2680.1 kW,8.4 m/s
2026-02-01 13:29:02,WA414,2480.7 kW,7.9 m/s
2026-02-01 13:29:11,WA415,1797.6 kW,7.3 m/s
2026-02-01 13:29:22,WA416,3808.8 kW,9.6 m/s
2026-02-01 13:29:31,WA417,2805.0 kW,7.0 m/s
2026-02-01 13:29:40,WA418,2713.9 kW,8.4 m/s
2026-02-01 13:29:49,WA419,2279.2 kW,8.7 m/s
2026-02-01 13:29:56,WA420,2072.0 kW,4.9 m/s
2026-02-01 13:30:04,WA421,4470.2 kW,9.8 m/s
2026-02-01 13:30:21,WA422,4023.5 kW,7.6 m/s
2026-02-01 13:30:24,WA423,1877.1 kW,5.7 m/s
2026-02-01 13:30:29,WA424,3749.5 kW,8.8 m/s
2026-02-01 13:30:49,WA426,1735.8 kW,6.1 m/s
2026-02-01 13:30:50,WA425,1227.1 kW,6.2 m/s
2026-02-01 13:30:59,WA427,3920.0 kW,9.5 m/s
2026-02-01 13:31:20,WA429,3378.9 kW,7.9 m/s
2026-02-01 13:31:23,WA428,2985.5 kW,10.1 m/s
2026-02-01 13:31:31,WA430,3912.2 kW,8.4 m/s
2026-02-01 13:31:51,WA431,2998.2 kW,6.8 m/s
2026-02-01 13:31:56,WA432,189.3 kW,6.5 m/s
2026-02-01 13:31:58,WA433,699.3 kW,7.8 m/s
2026-02-01 13:32:13,WA434,2609.2 kW,8.9 m/s
2026-02-01 13:34:48,WA103,3100.9 kW,8.9 m/s
2026-02-01 13:34:49,WA102,2732.1 kW,9.6 m/s
2026-02-01 13:34:49,WA101,1787.2 kW,9.3 m/s
